,year_film,year_ceremony,ceremony,category,name,film,winner
2,1927,1928,1,ACTRESS,Louise Dresser,A Ship Comes In,False
3,1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,True
4,1927,1928,1,ACTRESS,Gloria Swanson,Sadie Thompson,False
40,1928,1929,2,ACTRESS,Ruth Chatterton,Madame X,False
41,1928,1929,2,ACTRESS,Betty Compson,The Barker,False
42,1928,1929,2,ACTRESS,Jeanne Eagels,The Letter,False
43,1928,1929,2,ACTRESS,Corinne Griffith,The Divine Lady,False
44,1928,1929,2,ACTRESS,Bessie Love,The Broadway Melody,False
45,1928,1929,2,ACTRESS,Mary Pickford,Coquette,True
79,1929,1930,3,ACTRESS,Nancy Carroll,The Devil's Holiday,False
80,1929,1930,3,ACTRESS,Ruth Chatterton,Sarah and Son,False
81,1929,1930,3,ACTRESS,Greta Garbo,Anna Christie,False
82,1929,1930,3,ACTRESS,Norma Shearer,The Divorcee,True
83,1929,1930,3,ACTRESS,Norma Shearer,Their Own Desire,False
84,1929,1930,3,ACTRESS,Gloria Swanson,The Trespasser,False
120,1930,1931,4,ACTRESS,Marlene Dietrich,Morocco,False
121,1930,1931,4,ACTRESS,Marie Dressler,Min and Bill,True
122,1930,1931,4,ACTRESS,Irene Dunne,Cimarron,False
123,1930,1931,4,ACTRESS,Ann Harding,Holiday,False
124,1930,1931,4,ACTRESS,Norma Shearer,A Free Soul,False
162,1931,1932,5,ACTRESS,Marie Dressler,Emma,False
163,1931,1932,5,ACTRESS,Lynn Fontanne,The Guardsman,False
164,1931,1932,5,ACTRESS,Helen Hayes,The Sin of Madelon Claudet,True
207,1932,1933,6,ACTRESS,Katharine Hepburn,Morning Glory,True
208,1932,1933,6,ACTRESS,May Robson,Lady for a Day,False
209,1932,1933,6,ACTRESS,Diana Wynyard,Cavalcade,False
269,1934,1935,7,ACTRESS,Claudette Colbert,It Happened One Night,True
270,1934,1935,7,ACTRESS,Bette Davis,Of Human Bondage,False
271,1934,1935,7,ACTRESS,Grace Moore,One Night of Love,False
272,1934,1935,7,ACTRESS,Norma Shearer,The Barretts of Wimpole Street,False
335,1935,1936,8,ACTRESS,Elisabeth Bergner,Escape Me Never,False
336,1935,1936,8,ACTRESS,Claudette Colbert,Private Worlds,False
337,1935,1936,8,ACTRESS,Bette Davis,Dangerous,True
338,1935,1936,8,ACTRESS,Katharine Hepburn,Alice Adams,False
339,1935,1936,8,ACTRESS,Miriam Hopkins,Becky Sharp,False
340,1935,1936,8,ACTRESS,Merle Oberon,The Dark Angel,False
425,1936,1937,9,ACTRESS,Irene Dunne,Theodora Goes Wild,False
426,1936,1937,9,ACTRESS,Gladys George,Valiant Is the Word for Carrie,False
427,1936,1937,9,ACTRESS,Carole Lombard,My Man Godfrey,False
428,1936,1937,9,ACTRESS,Luise Rainer,The Great Ziegfeld,True
429,1936,1937,9,ACTRESS,Norma Shearer,Romeo and Juliet,False
532,1937,1938,10,ACTRESS,Irene Dunne,The Awful Truth,False
