,film,count_x,count_y
0,A Star Is Born,25,3.0
1,Titanic,16,12.0
2,Moulin Rouge,15,4.0
3,Mutiny on the Bounty,15,1.0
4,Little Women,14,3.0
5,All about Eve,14,6.0
6,La La Land,14,6.0
7,Cleopatra,14,5.0
8,Forrest Gump,13,6.0
9,Hamlet,13,4.0
10,The Lord of the Rings: The Fellowship of the Ring,13,4.0
11,Who's Afraid of Virginia Woolf?,13,5.0
12,From Here to Eternity,13,8.0
13,The Curious Case of Benjamin Button,13,3.0
14,Shakespeare in Love,13,7.0
15,Mary Poppins,13,5.0
16,The Shape of Water,13,4.0
17,Gone with the Wind,13,8.0
18,Chicago,13,6.0
19,Dances With Wolves,12,7.0
20,Ben-Hur,12,11.0
21,A Streetcar Named Desire,12,4.0
22,The Revenant,12,3.0
23,The Song of Bernadette,12,4.0
24,Lincoln,12,2.0
25,Schindler's List,12,7.0
26,My Fair Lady,12,8.0
27,The King's Speech,12,4.0
28,Johnny Belinda,12,1.0
29,True Grit,12,1.0
30,On the Waterfront,12,8.0
31,The English Patient,12,9.0
32,Gladiator,12,5.0
33,Mrs. Miniver,12,6.0
34,Reds,12,3.0
35,Becket,12,1.0
36,Heaven Can Wait,12,1.0
37,Chinatown,11,1.0
38,Rebecca,11,2.0
39,The Aviator,11,5.0
40,The Pride of the Yankees,11,1.0
41,Hugo,11,5.0
42,Gandhi,11,8.0
43,Sergeant York,11,2.0
44,Amadeus,11,8.0
45,Mr. Smith Goes to Washington,11,1.0
46,Sunset Blvd.,11,3.0
47,Life of Pi,11,4.0
48,Out of Africa,11,7.0
49,West Side Story,11,10.0
50,The Color Purple,11,
51,The Godfather Part II,11,6.0
52,A Passage to India,11,2.0
53,The Turning Point,11,
54,Joker,11,2.0
55,The Lord of the Rings: The Return of the King,11,11.0
56,Judgment at Nuremberg,11,2.0
57,Oliver!,11,5.0
58,Saving Private Ryan,11,5.0
59,Terms of Endearment,11,5.0
60,The Godfather,11,3.0
61,Julia,11,3.0
62,Rocky,10,3.0
63,Mad Max: Fury Road,10,6.0
64,On Golden Pond,10,3.0
65,Bonnie and Clyde,10,2.0
66,The Exorcist,10,2.0
67,Lawrence of Arabia,10,7.0
68,Patton,10,7.0
69,American Hustle,10,
70,A Place in the Sun,10,6.0
71,Roma,10,3.0
72,Doctor Zhivago,10,5.0
73,The Life of Emile Zola,10,3.0
74,Guess Who's Coming to Dinner,10,2.0
75,1917,10,3.0
76,Roman Holiday,10,3.0
77,Gravity,10,7.0
78,Gangs of New York,10,
79,How Green Was My Valley,10,5.0
80,Network,10,4.0
81,The Sound of Music,10,5.0
82,Tootsie,10,1.0
83,The Apartment,10,5.0
84,Giant,10,1.0
85,Cabaret,10,8.0
86,The Artist,10,5.0
87,"Crouching Tiger, Hidden Dragon",10,4.0
88,The Irishman,10,
89,Master and Commander: The Far Side of the World,10,2.0
90,The Favourite,10,1.0
91,Anne of the Thousand Days,10,1.0
92,Tom Jones,10,4.0
93,Wilson,10,5.0
94,Bugsy,10,2.0
95,Once upon a Time...in Hollywood,10,2.0
96,Sayonara,10,4.0
97,The Sting,10,7.0
98,Airport,10,1.0
99,Going My Way,10,7.0
100,Slumdog Millionaire,10,8.0
101,Braveheart,10,5.0
102,Star Wars,10,6.0
103,The Hours,9,1.0
104,For Whom the Bell Tolls,9,1.0
105,Les Misérables,9,3.0
106,Cimarron,9,3.0
107,Apollo 13,9,2.0
108,The Little Foxes,9,
109,Raiders of the Lost Ark,9,5.0
110,The Grand Budapest Hotel,9,4.0
111,The Defiant Ones,9,2.0
112,L.A. Confidential,9,2.0
113,Gigi,9,9.0
114,Citizen Kane,9,1.0
115,12 Years a Slave,9,3.0
116,E.T. The Extra-Terrestrial,9,4.0
117,The Poseidon Adventure,9,2.0
118,"Goodbye, Mr. Chips",9,1.0
119,Good Will Hunting,9,2.0
120,The Hustler,9,2.0
121,The King and I,9,5.0
122,The Deer Hunter,9,5.0
123,Avatar,9,3.0
124,The Hurt Locker,9,6.0
125,The Last Emperor,9,9.0
126,Close Encounters of the Third Kind,9,2.0
127,Birdman or (The Unexpected Virtue of Ignorance),9,4.0
128,Driving Miss Daisy,9,4.0
129,Since You Went Away,9,1.0
130,All That Jazz,9,4.0
131,"They Shoot Horses, Don't They?",9,1.0
132,Doctor Dolittle,9,2.0
133,Kramer vs. Kramer,9,5.0
134,Peyton Place,9,
135,Howards End,9,3.0
136,Unforgiven,9,4.0
137,One Flew over the Cuckoo's Nest,9,5.0
138,The Social Network,8,3.0
139,The Dark Knight,8,2.0
140,The Bridge on the River Kwai,8,7.0
141,Moonlight,8,3.0
142,The Bells of St. Mary's,8,1.0
143,The Letter,8,
144,Fiddler on the Roof,8,3.0
145,Funny Girl,8,1.0
146,Marty,8,4.0
147,Around the World in 80 Days,8,5.0
148,JFK,8,2.0
149,The Remains of the Day,8,
150,To Kill a Mockingbird,8,3.0
151,Casablanca,8,3.0
152,Sabrina,8,1.0
153,Vice,8,1.0
154,Ship of Fools,8,2.0
155,Born on the Fourth of July,8,2.0
156,Wuthering Heights,8,1.0
157,How the West Was Won,8,3.0
158,Platoon,8,4.0
159,Inglourious Basterds,8,1.0
160,A Beautiful Mind,8,4.0
161,Rain Man,8,4.0
162,American Beauty,8,5.0
163,Love Is a Many-Splendored Thing,8,3.0
164,The Towering Inferno,8,3.0
165,A Room with a View,8,3.0
166,Brokeback Mountain,8,3.0
167,The Rose Tattoo,8,3.0
168,All the President's Men,8,4.0
169,Arrival,8,1.0
170,The French Connection,8,5.0
171,Raging Bull,8,2.0
172,Silver Linings Playbook,8,1.0
173,The Diary of Anne Frank,8,3.0
174,A Man for All Seasons,8,6.0
175,The Sand Pebbles,8,
176,The Best Years of Our Lives,8,7.0
177,Apocalypse Now,8,2.0
178,The Elephant Man,8,
179,The Last Picture Show,8,2.0
180,The Right Stuff,8,4.0
181,The Piano,8,3.0
182,The Imitation Game,8,1.0
183,The Patriot,8,1.0
184,Quo Vadis,8,
185,Coming Home,8,3.0
186,Yankee Doodle Dandy,8,3.0
187,Prizzi's Honor,8,1.0
188,The Heiress,8,4.0
189,Romeo and Juliet,8,2.0
190,An American in Paris,8,6.0
191,Milk,8,2.0
192,Gentleman's Agreement,8,3.0
193,Dreamgirls,8,2.0
194,Inception,8,4.0
195,Dunkirk,8,3.0
196,Ragtime,8,
197,No Country for Old Men,8,4.0
198,The Nun's Story,8,
199,Witness,8,2.0
200,Beauty and the Beast,8,2.0
201,There Will Be Blood,8,2.0
202,The Country Girl,7,2.0
203,Henry V,7,1.0
204,The Fugitive,7,1.0
205,Midnight Cowboy,7,3.0
206,Joan of Arc,7,2.0
207,Broadcast News,7,
208,Fargo,7,2.0
209,The Pianist,7,3.0
210,Gosford Park,7,1.0
211,The Insider,7,
212,As Good as It Gets,7,2.0
213,Coal Miner's Daughter,7,1.0
214,Black Panther,7,3.0
215,Double Indemnity,7,
216,The Quiet Man,7,2.0
217,Cold Mountain,7,1.0
218,The Lion in Winter,7,3.0
219,Argo,7,3.0
220,Atonement,7,1.0
221,Madame Curie,7,
222,Lost Horizon,7,2.0
223,Thoroughly Modern Millie,7,1.0
224,The Mission,7,1.0
225,The Fighter,7,2.0
226,Anthony Adverse,7,4.0
227,Bullets over Broadway,7,1.0
228,All the King's Men,7,3.0
229,You Can't Take It with You,7,2.0
230,The Martian,7,
231,Places in the Heart,7,2.0
232,The Lives of a Bengal Lancer,7,1.0
233,Come to the Stable,7,
234,The Prince of Tides,7,
235,The Alamo,7,1.0
236,Aliens,7,2.0
237,Shine,7,1.0
238,High Noon,7,4.0
239,Finding Neverland,7,1.0
240,Gaslight,7,2.0
241,Hud,7,3.0
242,"The Godfather, Part III",7,
243,The Yearling,7,2.0
244,In the Name of the Father,7,
245,The Lost Weekend,7,4.0
246,The Killing Fields,7,3.0
247,Pepe,7,
248,Dick Tracy,7,3.0
249,King Kong,7,4.0
250,Michael Clayton,7,1.0
251,Elizabeth,7,1.0
252,The Shawshank Redemption,7,
253,Dodsworth,7,1.0
254,Star!,7,
255,Victor/Victoria,7,1.0
256,Here Comes Mr. Jordan,7,2.0
257,Barry Lyndon,7,4.0
258,The Guns of Navarone,7,1.0
259,The Cider House Rules,7,2.0
260,Babe,7,1.0
261,Mississippi Burning,7,1.0
262,The Ten Commandments,7,1.0
263,Seabiscuit,7,
264,Dangerous Liaisons,7,3.0
265,Hannah and Her Sisters,7,3.0
266,Spellbound,7,1.0
267,Zorba the Greek,7,3.0
268,Life Is Beautiful,7,3.0
269,Sense and Sensibility,7,1.0
270,The Thin Red Line,7,
271,Sons and Lovers,7,1.0
272,In the Heat of the Night,7,5.0
273,Hawaii,7,
274,Stagecoach,7,2.0
275,Anatomy of a Murder,7,
276,The Silence of the Lambs,7,5.0
277,Million Dollar Baby,7,4.0
278,"Three Billboards outside Ebbing, Missouri",7,2.0
279,The Grapes of Wrath,7,2.0
280,Love Story,7,1.0
281,Random Harvest,7,
282,The Great Ziegfeld,7,3.0
283,Chariots of Fire,7,4.0
284,"Hush...Hush, Sweet Charlotte",7,
