,film,nominated,won
0,A Star Is Born,25,3
1,Titanic,16,12
2,Mutiny on the Bounty,15,1
3,Moulin Rouge,15,4
4,Cleopatra,14,5
5,La La Land,14,6
6,All about Eve,14,6
7,Little Women,14,3
8,The Lord of the Rings: The Fellowship of the Ring,13,4
9,Gone with the Wind,13,8
10,From Here to Eternity,13,8
11,The Shape of Water,13,4
12,Forrest Gump,13,6
13,Mary Poppins,13,5
14,Hamlet,13,4
15,Who's Afraid of Virginia Woolf?,13,5
16,Shakespeare in Love,13,7
17,Chicago,13,6
18,The Curious Case of Benjamin Button,13,3
19,Gladiator,12,5
20,My Fair Lady,12,8
21,The King's Speech,12,4
22,The Revenant,12,3
23,True Grit,12,1
24,Heaven Can Wait,12,1
25,On the Waterfront,12,8
26,Mrs. Miniver,12,6
27,Ben-Hur,12,11
28,Becket,12,1
29,Lincoln,12,2
30,Dances With Wolves,12,7
31,Schindler's List,12,7
32,Reds,12,3
33,Johnny Belinda,12,1
34,The English Patient,12,9
35,A Streetcar Named Desire,12,4
36,The Song of Bernadette,12,4
37,Oliver!,11,5
38,Gandhi,11,8
39,Joker,11,2
40,The Turning Point,11,0
41,The Godfather Part II,11,6
42,Terms of Endearment,11,5
43,Rebecca,11,2
44,The Pride of the Yankees,11,1
45,A Passage to India,11,2
46,Saving Private Ryan,11,5
47,West Side Story,11,10
48,Out of Africa,11,7
49,Chinatown,11,1
50,Judgment at Nuremberg,11,2
51,The Color Purple,11,0
52,Hugo,11,5
53,Sunset Blvd.,11,3
54,Julia,11,3
55,The Godfather,11,3
56,The Lord of the Rings: The Return of the King,11,11
57,The Aviator,11,5
58,Life of Pi,11,4
59,Amadeus,11,8
60,Mr. Smith Goes to Washington,11,1
61,Sergeant York,11,2
62,Going My Way,10,7
63,Bugsy,10,2
64,Rocky,10,3
65,On Golden Pond,10,3
66,How Green Was My Valley,10,5
67,American Hustle,10,0
68,Doctor Zhivago,10,5
69,Star Wars,10,6
70,A Place in the Sun,10,6
71,Lawrence of Arabia,10,7
72,The Artist,10,5
73,Gangs of New York,10,0
74,The Life of Emile Zola,10,3
75,Roma,10,3
76,Slumdog Millionaire,10,8
77,Patton,10,7
78,Tom Jones,10,4
79,Roman Holiday,10,3
80,The Apartment,10,5
81,Mad Max: Fury Road,10,6
82,Airport,10,1
83,The Sting,10,7
84,1917,10,3
85,The Irishman,10,0
86,Once upon a Time...in Hollywood,10,2
87,Anne of the Thousand Days,10,1
88,Bonnie and Clyde,10,2
89,Cabaret,10,8
90,Wilson,10,5
91,Guess Who's Coming to Dinner,10,2
92,Braveheart,10,5
93,"Crouching Tiger, Hidden Dragon",10,4
94,Giant,10,1
95,The Favourite,10,1
96,Master and Commander: The Far Side of the World,10,2
97,The Sound of Music,10,5
98,Sayonara,10,4
99,Gravity,10,7
100,The Exorcist,10,2
101,Tootsie,10,1
102,Network,10,4
103,For Whom the Bell Tolls,9,1
104,Avatar,9,3
105,Good Will Hunting,9,2
106,The Hustler,9,2
107,"Goodbye, Mr. Chips",9,1
108,Close Encounters of the Third Kind,9,2
109,Gigi,9,9
110,The Last Emperor,9,9
111,Les Misérables,9,3
112,Birdman or (The Unexpected Virtue of Ignorance),9,4
113,Kramer vs. Kramer,9,5
114,Howards End,9,3
115,"They Shoot Horses, Don't They?",9,1
116,Raiders of the Lost Ark,9,5
117,12 Years a Slave,9,3
118,Unforgiven,9,4
119,The Defiant Ones,9,2
120,The Hurt Locker,9,6
121,The Poseidon Adventure,9,2
122,Peyton Place,9,0
123,The Little Foxes,9,0
124,One Flew over the Cuckoo's Nest,9,5
125,Since You Went Away,9,1
126,The Deer Hunter,9,5
127,Driving Miss Daisy,9,4
128,All That Jazz,9,4
129,Cimarron,9,3
130,The Grand Budapest Hotel,9,4
131,Citizen Kane,9,1
132,E.T. The Extra-Terrestrial,9,4
133,The King and I,9,5
134,The Hours,9,1
135,Doctor Dolittle,9,2
136,Apollo 13,9,2
137,L.A. Confidential,9,2
138,The Remains of the Day,8,0
139,No Country for Old Men,8,4
140,American Beauty,8,5
141,How the West Was Won,8,3
142,Moonlight,8,3
143,Silver Linings Playbook,8,1
144,Rain Man,8,4
145,Witness,8,2
146,Ship of Fools,8,2
147,Beauty and the Beast,8,2
148,Milk,8,2
149,Quo Vadis,8,0
150,The Dark Knight,8,2
151,A Room with a View,8,3
152,The Bridge on the River Kwai,8,7
153,Platoon,8,4
154,The French Connection,8,5
155,Dunkirk,8,3
156,A Beautiful Mind,8,4
157,Funny Girl,8,1
158,A Man for All Seasons,8,6
159,Born on the Fourth of July,8,2
160,Casablanca,8,3
161,Apocalypse Now,8,2
162,The Imitation Game,8,1
163,The Sand Pebbles,8,0
164,The Best Years of Our Lives,8,7
165,There Will Be Blood,8,2
166,The Elephant Man,8,0
167,Coming Home,8,3
168,The Piano,8,3
169,Inglourious Basterds,8,1
170,The Letter,8,0
171,Vice,8,1
172,JFK,8,2
173,Marty,8,4
174,Yankee Doodle Dandy,8,3
175,Sabrina,8,1
176,Wuthering Heights,8,1
177,Brokeback Mountain,8,3
178,Fiddler on the Roof,8,3
179,The Bells of St. Mary's,8,1
180,Raging Bull,8,2
181,Dreamgirls,8,2
182,Ragtime,8,0
183,The Nun's Story,8,0
184,The Diary of Anne Frank,8,3
185,The Towering Inferno,8,3
186,Arrival,8,1
187,The Social Network,8,3
188,The Right Stuff,8,4
189,Gentleman's Agreement,8,3
190,Romeo and Juliet,8,2
191,The Last Picture Show,8,2
192,The Rose Tattoo,8,3
193,The Heiress,8,4
194,An American in Paris,8,6
195,Prizzi's Honor,8,1
196,The Patriot,8,1
197,Inception,8,4
198,Around the World in 80 Days,8,5
199,All the President's Men,8,4
200,Love Is a Many-Splendored Thing,8,3
201,To Kill a Mockingbird,8,3
202,Argo,7,3
203,Black Panther,7,3
204,The Thin Red Line,7,0
205,Fargo,7,2
206,Sense and Sensibility,7,1
207,King Kong,7,4
208,The Talk of the Town,7,0
209,In the Name of the Father,7,0
210,The Lost Weekend,7,4
211,The Great Ziegfeld,7,3
212,Chariots of Fire,7,4
213,Pepe,7,0
214,The Prince of Tides,7,0
215,Aliens,7,2
216,Dick Tracy,7,3
217,Double Indemnity,7,0
