,year_film,year_ceremony,ceremony,category,name,film,winner
2758,1953,1954,26,ACTOR,Montgomery Clift,From Here to Eternity,False
2760,1953,1954,26,ACTOR,Burt Lancaster,From Here to Eternity,False
2764,1953,1954,26,ACTOR IN A SUPPORTING ROLE,Frank Sinatra,From Here to Eternity,True
2769,1953,1954,26,ACTRESS,Deborah Kerr,From Here to Eternity,False
2774,1953,1954,26,ACTRESS IN A SUPPORTING ROLE,Donna Reed,From Here to Eternity,True
2780,1953,1954,26,ART DIRECTION (Black-and-White),Titanic,Titanic,False
2787,1953,1954,26,CINEMATOGRAPHY (Black-and-White),From Here to Eternity,From Here to Eternity,True
2798,1953,1954,26,COSTUME DESIGN (Black-and-White),From Here to Eternity,From Here to Eternity,False
2806,1953,1954,26,DIRECTING,From Here to Eternity,From Here to Eternity,True
2820,1953,1954,26,FILM EDITING,From Here to Eternity,From Here to Eternity,True
2825,1953,1954,26,MUSIC (Music Score of a Dramatic or Comedy Picture),From Here to Eternity,From Here to Eternity,False
2839,1953,1954,26,BEST MOTION PICTURE,From Here to Eternity,From Here to Eternity,True
2860,1953,1954,26,SOUND RECORDING,From Here to Eternity,From Here to Eternity,True
2871,1953,1954,26,WRITING (Screenplay),From Here to Eternity,From Here to Eternity,True
2879,1953,1954,26,WRITING (Story and Screenplay),Titanic,Titanic,True
3385,1958,1959,31,ART DIRECTION,Gigi,Gigi,True
3394,1958,1959,31,CINEMATOGRAPHY (Color),Gigi,Gigi,True
3400,1958,1959,31,COSTUME DESIGN,Gigi,Gigi,True
3404,1958,1959,31,DIRECTING,Gigi,Gigi,True
3419,1958,1959,31,FILM EDITING,Gigi,Gigi,True
3433,1958,1959,31,MUSIC (Scoring of a Musical Picture),Gigi,Gigi,True
3438,1958,1959,31,MUSIC (Song),Gigi,Gigi,True
3444,1958,1959,31,BEST MOTION PICTURE,Gigi,Gigi,True
3462,1958,1959,31,WRITING (Screenplay--based on material from another medium),Gigi,Gigi,True
3474,1959,1960,32,ACTOR,Charlton Heston,Ben-Hur,True
3478,1959,1960,32,ACTOR IN A SUPPORTING ROLE,Hugh Griffith,Ben-Hur,True
3498,1959,1960,32,ART DIRECTION (Color),Ben-Hur,Ben-Hur,True
3508,1959,1960,32,CINEMATOGRAPHY (Color),Ben-Hur,Ben-Hur,True
3518,1959,1960,32,COSTUME DESIGN (Color),Ben-Hur,Ben-Hur,True
3523,1959,1960,32,DIRECTING,Ben-Hur,Ben-Hur,True
3534,1959,1960,32,FILM EDITING,Ben-Hur,Ben-Hur,True
3543,1959,1960,32,MUSIC (Music Score of a Dramatic or Comedy Picture),Ben-Hur,Ben-Hur,True
3559,1959,1960,32,BEST MOTION PICTURE,Ben-Hur,Ben-Hur,True
3572,1959,1960,32,SOUND,Ben-Hur,Ben-Hur,True
3577,1959,1960,32,SPECIAL EFFECTS,Ben-Hur,Ben-Hur,True
3580,1959,1960,32,WRITING (Screenplay--based on material from another medium),Ben-Hur,Ben-Hur,False
