,film,won
0,Titanic,12
1,The Lord of the Rings: The Return of the King,11
2,Ben-Hur,11
3,West Side Story,10
4,The English Patient,9
5,Gigi,9
6,The Last Emperor,9
7,Gandhi,8
8,From Here to Eternity,8
9,Amadeus,8
10,Slumdog Millionaire,8
11,Gone with the Wind,8
12,My Fair Lady,8
13,On the Waterfront,8
14,Cabaret,8
15,Patton,7
16,Dances With Wolves,7
17,The Best Years of Our Lives,7
18,Shakespeare in Love,7
19,Lawrence of Arabia,7
20,Schindler's List,7
21,The Sting,7
22,Gravity,7
23,Out of Africa,7
24,The Bridge on the River Kwai,7
25,Going My Way,7
26,Star Wars,6
27,A Place in the Sun,6
28,The Hurt Locker,6
29,All about Eve,6
30,A Man for All Seasons,6
31,Mrs. Miniver,6
32,The Godfather Part II,6
33,La La Land,6
34,An American in Paris,6
35,Mad Max: Fury Road,6
36,Forrest Gump,6
37,Chicago,6
38,The Sound of Music,5
39,Doctor Zhivago,5
40,Raiders of the Lost Ark,5
41,The Aviator,5
42,Cleopatra,5
43,Oliver!,5
44,Kramer vs. Kramer,5
45,Saving Private Ryan,5
46,The King and I,5
47,Hugo,5
48,The Deer Hunter,5
49,It Happened One Night,5
50,Gladiator,5
51,Wilson,5
52,Who's Afraid of Virginia Woolf?,5
53,The Artist,5
54,Around the World in 80 Days,5
55,In the Heat of the Night,5
56,Terms of Endearment,5
57,The French Connection,5
58,One Flew over the Cuckoo's Nest,5
59,Mary Poppins,5
60,The Bad and the Beautiful,5
61,The Silence of the Lambs,5
62,American Beauty,5
63,How Green Was My Valley,5
64,Braveheart,5
65,The Apartment,5
66,Moulin Rouge,4
67,The Departed,4
68,Tom Jones,4
69,Bohemian Rhapsody,4
70,The Shape of Water,4
71,The Grand Budapest Hotel,4
72,No Country for Old Men,4
73,High Noon,4
74,Ordinary People,4
75,Anthony Adverse,4
76,The Heiress,4
77,E.T. The Extra-Terrestrial,4
78,Terminator 2: Judgment Day,4
79,Butch Cassidy and the Sundance Kid,4
80,Rain Man,4
81,A Streetcar Named Desire,4
82,The King's Speech,4
83,The Right Stuff,4
84,Sayonara,4
85,Unforgiven,4
86,The Song of Bernadette,4
87,"Crouching Tiger, Hidden Dragon",4
