,film,won
0,Ben-Hur (1959),11
1,The Lord of the Rings: The Return of the King (2003),11
2,Titanic (1997),11
3,West Side Story (1961),10
4,The English Patient (1996),9
5,The Last Emperor (1987),9
6,Gigi (1958),9
7,My Fair Lady (1964),8
8,Amadeus (1984),8
9,Gone with the Wind (1939),8
10,On the Waterfront (1954),8
11,From Here to Eternity (1953),8
12,Gandhi (1982),8
13,Cabaret (1972),8
14,Slumdog Millionaire (2008),8
15,Gravity (2013),7
16,Schindler's List (1993),7
17,The Bridge on the River Kwai (1957),7
18,Shakespeare in Love (1998),7
19,Going My Way (1944),7
20,Patton (1970),7
21,Dances With Wolves (1990),7
22,The Sting (1973),7
23,Out of Africa (1985),7
24,The Best Years of Our Lives (1946),7
25,Lawrence of Arabia (1962),7
26,Mrs. Miniver (1942),6
27,Mad Max: Fury Road (2015),6
28,An American in Paris (1951),6
29,La La Land (2016),6
30,A Man for All Seasons (1966),6
31,Star Wars (1977),6
32,The Hurt Locker (2009),6
33,Forrest Gump (1994),6
34,A Place in the Sun (1951),6
35,The Godfather Part II (1974),6
36,Chicago (2002),6
37,All about Eve (1950),6
38,In the Heat of the Night (1967),5
39,American Beauty (1999),5
40,The French Connection (1971),5
41,The Silence of the Lambs (1991),5
42,Raiders of the Lost Ark (1981),5
43,Who's Afraid of Virginia Woolf? (1966),5
44,Doctor Zhivago (1965),5
45,Around the World in 80 Days (1956),5
46,The King and I (1956),5
47,Saving Private Ryan (1998),5
48,Braveheart (1995),5
49,Oliver! (1968),5
50,The Aviator (2004),5
51,The Artist (2011),5
52,Hugo (2011),5
53,Mary Poppins (1964),5
54,Terms of Endearment (1983),5
55,It Happened One Night (1934),5
56,One Flew over the Cuckoo's Nest (1975),5
57,The Deer Hunter (1978),5
58,How Green Was My Valley (1941),5
59,Kramer vs. Kramer (1979),5
60,The Bad and the Beautiful (1952),5
61,Wilson (1944),5
62,Gladiator (2000),5
63,The Sound of Music (1965),5
64,The Apartment (1960),5
65,Bohemian Rhapsody (2018),4
66,Parasite (2019),4
67,A Beautiful Mind (2001),4
68,Sayonara (1957),4
69,Barry Lyndon (1975),4
70,The Shape of Water (2017),4
71,Annie Hall (1977),4
72,Cleopatra (1963),4
73,Marty (1955),4
74,The Lord of the Rings: The Fellowship of the Ring (2001),4
75,A Streetcar Named Desire (1951),4
76,Network (1976),4
77,"Crouching Tiger, Hidden Dragon (2000)",4
78,High Noon (1952),4
79,The Matrix (1999),4
80,All That Jazz (1979),4
81,Platoon (1986),4
82,The Informer (1935),4
83,Butch Cassidy and the Sundance Kid (1969),4
84,Anthony Adverse (1936),4
85,The Lost Weekend (1945),4
86,Hamlet (1948),4
87,Traffic (2000),4
88,All the President's Men (1976),4
89,Fanny & Alexander (1983),4
90,The King's Speech (2010),4
91,Tom Jones (1963),4
92,Unforgiven (1992),4
93,The Right Stuff (1983),4
94,The Departed (2006),4
95,The Heiress (1949),4
96,The Song of Bernadette (1943),4
97,E.T. The Extra-Terrestrial (1982),4
98,Birdman or (The Unexpected Virtue of Ignorance) (2014),4
99,Spartacus (1960),4
100,Rain Man (1988),4
101,No Country for Old Men (2007),4
102,Terminator 2: Judgment Day (1991),4
103,Life of Pi (2012),4
104,Chariots of Fire (1981),4
105,Million Dollar Baby (2004),4
106,Inception (2010),4
107,Ordinary People (1980),4
108,The Grand Budapest Hotel (2014),4
109,Driving Miss Daisy (1989),4
110,Green Book (2018),3
111,Love Is a Many-Splendored Thing (1955),3
112,Gentleman's Agreement (1947),3
113,Brokeback Mountain (2005),3
114,Casablanca (1943),3
115,Camelot (1967),3
116,The Lion in Winter (1968),3
117,Elmer Gantry (1960),3
118,Hud (1963),3
119,Dallas Buyers Club (2013),3
120,Dangerous Liaisons (1988),3
121,The Life of Emile Zola (1937),3
122,7th Heaven (1927),3
123,The Godfather (1972),3
124,Hannah and Her Sisters (1986),3
125,Sunset Blvd. (1950),3
126,Roma (2018),3
127,12 Years a Slave (2013),3
128,Black Panther (2018),3
129,Memoirs of a Geisha (2005),3
130,All the King's Men (1949),3
131,The Curious Case of Benjamin Button (2008),3
132,Avatar (2009),3
133,Who Framed Roger Rabbit (1988),3
134,Julia (1977),3
135,The Treasure of the Sierra Madre (1948),3
136,Pan's Labyrinth (2006),3
137,The Thief of Bagdad (1940),3
138,Les Misérables (2012),3
139,Cavalcade (1932),3
140,A Room with a View (1986),3
141,To Kill a Mockingbird (1962),3
142,The Adventures of Robin Hood (1938),3
143,Moonlight (2016),3
144,Whiplash (2014),3
145,The Social Network (2010),3
146,Fiddler on the Roof (1971),3
147,Darling (1965),3
148,"Hello, Dolly! (1969)",3
149,Moonstruck (1987),3
150,The Bourne Ultimatum (2007),3
151,On Golden Pond (1981),3
152,Jaws (1975),3
153,Dunkirk (2017),3
154,Rocky (1976),3
155,Argo (2012),3
156,The Rose Tattoo (1955),3
157,Tess (1980),3
158,Glory (1989),3
159,Crash (2005),3
160,Grand Prix (1966),3
161,The Towering Inferno (1974),3
162,Midnight Cowboy (1969),3
163,Sunrise (1927),3
164,Cimarron (1930),3
165,King Kong (2005),3
166,1917 (2019),3
167,The Revenant (2015),3
168,The Diary of Anne Frank (1959),3
169,The Killing Fields (1984),3
170,The Pianist (2002),3
171,Coming Home (1978),3
172,The Great Ziegfeld (1936),3
173,Howards End (1992),3
174,Reds (1981),3
175,Bram Stoker's Dracula (1992),3
176,Yankee Doodle Dandy (1942),3
177,How the West Was Won (1963),3
178,Jurassic Park (1993),3
179,Roman Holiday (1953),3
180,Zorba the Greek (1964),3
181,The Story of Louis Pasteur (1936),3
182,The Piano (1993),3
183,Dick Tracy (1990),3
184,Life Is Beautiful (1998),3
185,Miracle on 34th Street (1947),3
186,Earthquake (1974),2
187,Milk (2008),2
188,Philadelphia (1993),2
189,Fargo (1996),2
190,The Quiet Man (1952),2
191,An Officer and a Gentleman (1982),2
192,The Naked City (1948),2
193,Samson and Delilah (1950),2
194,Lincoln (2012),2
195,Bugsy (1991),2
196,The Dark Knight (2008),2
197,The Longest Day (1962),2
198,Witness (1985),2
199,Room at the Top (1959),2
200,Norma Rae (1979),2
201,A Double Life (1947),2
202,Raging Bull (1980),2
203,The Philadelphia Story (1940),2
204,The Big House (1929),2
205,Dreamgirls (2006),2
206,Close Encounters of the Third Kind (1977),2
207,Aliens (1986),2
208,Django Unchained (2012),2
209,Up (2009),2
210,The Usual Suspects (1995),2
211,The Wizard of Oz (1939),2
212,Stagecoach (1939),2
213,A Passage to India (1984),2
214,Separate Tables (1958),2
215,Frozen (2013),2
216,The Little Mermaid (1989),2
217,The Defiant Ones (1958),2
218,Guess Who's Coming to Dinner (1967),2
219,The Last Picture Show (1971),2
220,Ship of Fools (1965),2
221,In Old Chicago (1937),2
222,Precious: Based on the Novel 'Push' by Sapphire (2009),2
223,Pinocchio (1940),2
224,The Miracle Worker (1962),2
225,The Empire Strikes Back (1980),2
226,The Grapes of Wrath (1940),2
227,A Man and a Woman (1966),2
228,Born Free (1966),2
229,The Exorcist (1973),2
230,An Inconvenient Truth (2006),2
231,Ghost (1990),2
232,Beauty and the Beast (1991),2
233,A Midsummer Night's Dream (1935),2
234,Blade Runner 2049 (2017),2
235,Moulin Rouge (2001),2
236,Arthur (1981),2
237,All Quiet on the Western Front (1929),2
238,Spotlight (2015),2
239,Skyfall (2012),2
240,Toy Story 3 (2010),2
241,Apollo 13 (1995),2
242,Picnic (1955),2
243,Joan of Arc (1948),2
244,Pocahontas (1995),2
245,Speed (1994),2
246,Aladdin (1992),2
247,The Way We Were (1973),2
248,Here Comes Mr. Jordan (1941),2
249,Ray (2004),2
250,The Champ (1931),2
251,Coco (2017),2
252,Sergeant York (1941),2
253,Restoration (1995),2
254,Hacksaw Ridge (2016),2
255,Melvin and Howard (1980),2
256,"Three Billboards outside Ebbing, Missouri (2017)",2
257,Born on the Fourth of July (1989),2
258,The Country Girl (1954),2
259,Fame (1980),2
260,The Cider House Rules (1999),2
261,A Farewell to Arms (1932),2
262,Phantom of the Opera (1943),2
263,As Good as It Gets (1997),2
264,The Incredibles (2004),2
265,La Vie en Rose (2007),2
266,Fantastic Voyage (1966),2
267,The Red Shoes (1948),2
268,Three Coins in the Fountain (1954),2
269,The Lord of the Rings: The Two Towers (2002),2
270,Once upon a Time...in Hollywood (2019),2
271,The Good Earth (1937),2
272,Judgment at Nuremberg (1961),2
273,The Yearling (1946),2
274,Topsy-Turvy (1999),2
275,One Night of Love (1934),2
276,Ford v Ferrari (2019),2
277,A Letter to Three Wives (1949),2
278,Frida (2002),2
279,Ryan's Daughter (1970),2
280,Crazy Heart (2009),2
281,Somebody Up There Likes Me (1956),2
282,Wings (1927),2
283,Alice in Wonderland (2010),2
284,Battleground (1949),2
285,Joker (2019),2
286,The Hustler (1961),2
287,Darkest Hour (2017),2
288,Z (1969),2
289,"20,000 Leagues under the Sea (1954)",2
290,The Great Gatsby (2013),2
291,The Iron Lady (2011),2
292,Federico Fellini's 8-1/2 (1963),2
293,You Can't Take It with You (1938),2
294,Places in the Heart (1984),2
295,My Left Foot (1989),2
296,L.A. Confidential (1997),2
297,Moulin Rouge (1952),2
298,The Poseidon Adventure (1972),2
299,Twelve O'Clock High (1949),2
300,Boys Town (1938),2
301,Tender Mercies (1983),2
302,Bonnie and Clyde (1967),2
303,King Solomon's Mines (1950),2
304,Jezebel (1938),2
305,The Hindenburg (1975),2
306,Mystic River (2003),2
307,JFK (1991),2
308,Romeo and Juliet (1968),2
309,Gaslight (1944),2
310,Good Will Hunting (1997),2
311,Bound for Glory (1976),2
312,Great Expectations (1947),2
313,Sentinels of Silence (1971),2
314,Manchester by the Sea (2016),2
315,Black Narcissus (1947),2
316,Cocoon (1985),2
317,Rebecca (1940),2
318,The Greatest Show on Earth (1952),2
319,Doctor Dolittle (1967),2
320,Bad Girl (1931),2
321,Nicholas and Alexandra (1971),2
322,Breakfast at Tiffany's (1961),2
323,The Fighter (2010),2
