,film,nominated,won
0,Titanic (1997),14,11
1,All about Eve (1950),14,6
2,La La Land (2016),14,6
3,The Shape of Water (2017),13,4
4,Gone with the Wind (1939),13,8
5,Mary Poppins (1964),13,5
6,Forrest Gump (1994),13,6
7,The Curious Case of Benjamin Button (2008),13,3
8,The Lord of the Rings: The Fellowship of the Ring (2001),13,4
9,Who's Afraid of Virginia Woolf? (1966),13,5
10,Shakespeare in Love (1998),13,7
11,From Here to Eternity (1953),13,8
12,Chicago (2002),13,6
13,The English Patient (1996),12,9
14,Dances With Wolves (1990),12,7
15,Mrs. Miniver (1942),12,6
16,The Song of Bernadette (1943),12,4
17,Lincoln (2012),12,2
18,A Streetcar Named Desire (1951),12,4
19,Ben-Hur (1959),12,11
20,Gladiator (2000),12,5
21,Johnny Belinda (1948),12,1
22,My Fair Lady (1964),12,8
23,On the Waterfront (1954),12,8
24,Schindler's List (1993),12,7
25,The Revenant (2015),12,3
26,Reds (1981),12,3
27,The King's Speech (2010),12,4
28,Becket (1964),12,1
29,Life of Pi (2012),11,4
30,The Godfather Part II (1974),11,6
31,The Aviator (2004),11,5
32,Gandhi (1982),11,8
33,Chinatown (1974),11,1
34,Mr. Smith Goes to Washington (1939),11,1
35,Terms of Endearment (1983),11,5
36,Joker (2019),11,2
37,Sunset Blvd. (1950),11,3
38,The Godfather (1972),11,3
39,A Passage to India (1984),11,2
40,West Side Story (1961),11,10
41,Judgment at Nuremberg (1961),11,2
42,Amadeus (1984),11,8
43,The Pride of the Yankees (1942),11,1
44,Julia (1977),11,3
45,Out of Africa (1985),11,7
46,The Color Purple (1985),11,0
47,Oliver! (1968),11,5
48,The Lord of the Rings: The Return of the King (2003),11,11
49,The Turning Point (1977),11,0
50,Hugo (2011),11,5
51,Sergeant York (1941),11,2
52,Saving Private Ryan (1998),11,5
53,Rebecca (1940),11,2
54,Guess Who's Coming to Dinner (1967),10,2
55,Giant (1956),10,1
56,Roma (2018),10,3
57,Star Wars (1977),10,6
58,The Sting (1973),10,7
59,Wilson (1944),10,5
60,Doctor Zhivago (1965),10,5
61,Sayonara (1957),10,4
62,True Grit (2010),10,0
63,The Artist (2011),10,5
64,The Exorcist (1973),10,2
