,year_film,year_ceremony,ceremony,category,name,film,winner
785,1939,1940,12,ACTOR,Clark Gable,Gone with the Wind (1939),False
798,1939,1940,12,ACTRESS,Vivien Leigh,Gone with the Wind (1939),True
799,1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Olivia de Havilland,Gone with the Wind (1939),False
801,1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Hattie McDaniel,Gone with the Wind (1939),True
807,1939,1940,12,ART DIRECTION,Gone with the Wind,Gone with the Wind (1939),True
829,1939,1940,12,CINEMATOGRAPHY (Color),Gone with the Wind,Gone with the Wind (1939),True
833,1939,1940,12,DIRECTING,Gone with the Wind,Gone with the Wind (1939),True
838,1939,1940,12,FILM EDITING,Gone with the Wind,Gone with the Wind (1939),True
846,1939,1940,12,MUSIC (Original Score),Gone with the Wind,Gone with the Wind (1939),False
873,1939,1940,12,OUTSTANDING PRODUCTION,Gone with the Wind,Gone with the Wind (1939),True
894,1939,1940,12,SOUND RECORDING,Gone with the Wind,Gone with the Wind (1939),False
904,1939,1940,12,SPECIAL EFFECTS,Gone with the Wind,Gone with the Wind (1939),False
916,1939,1940,12,WRITING (Screenplay),Gone with the Wind,Gone with the Wind (1939),True
3385,1958,1959,31,ART DIRECTION,Gigi,Gigi (1958),True
3394,1958,1959,31,CINEMATOGRAPHY (Color),Gigi,Gigi (1958),True
3400,1958,1959,31,COSTUME DESIGN,Gigi,Gigi (1958),True
3404,1958,1959,31,DIRECTING,Gigi,Gigi (1958),True
3419,1958,1959,31,FILM EDITING,Gigi,Gigi (1958),True
3433,1958,1959,31,MUSIC (Scoring of a Musical Picture),Gigi,Gigi (1958),True
3438,1958,1959,31,MUSIC (Song),Gigi,Gigi (1958),True
3444,1958,1959,31,BEST MOTION PICTURE,Gigi,Gigi (1958),True
3462,1958,1959,31,WRITING (Screenplay--based on material from another medium),Gigi,Gigi (1958),True
3474,1959,1960,32,ACTOR,Charlton Heston,Ben-Hur (1959),True
3478,1959,1960,32,ACTOR IN A SUPPORTING ROLE,Hugh Griffith,Ben-Hur (1959),True
3498,1959,1960,32,ART DIRECTION (Color),Ben-Hur,Ben-Hur (1959),True
3508,1959,1960,32,CINEMATOGRAPHY (Color),Ben-Hur,Ben-Hur (1959),True
3518,1959,1960,32,COSTUME DESIGN (Color),Ben-Hur,Ben-Hur (1959),True
3523,1959,1960,32,DIRECTING,Ben-Hur,Ben-Hur (1959),True
3534,1959,1960,32,FILM EDITING,Ben-Hur,Ben-Hur (1959),True
3543,1959,1960,32,MUSIC (Music Score of a Dramatic or Comedy Picture),Ben-Hur,Ben-Hur (1959),True
3559,1959,1960,32,BEST MOTION PICTURE,Ben-Hur,Ben-Hur (1959),True
3572,1959,1960,32,SOUND,Ben-Hur,Ben-Hur (1959),True
