,year_film,year_ceremony,ceremony,category,name,film,winner
236,1932,1933,6,DIRECTING,Little Women,Little Women,False
242,1932,1933,6,OUTSTANDING PRODUCTION,Little Women,Little Women,False
261,1932,1933,6,WRITING (Adaptation),Little Women,Little Women,True
276,1934,1935,7,ASSISTANT DIRECTOR,Cleopatra,Cleopatra,False
280,1934,1935,7,CINEMATOGRAPHY,Cleopatra,Cleopatra,True
285,1934,1935,7,FILM EDITING,Cleopatra,Cleopatra,False
295,1934,1935,7,OUTSTANDING PRODUCTION,Cleopatra,Cleopatra,False
316,1934,1935,7,SOUND RECORDING,Cleopatra,Cleopatra,False
330,1935,1936,8,ACTOR,Clark Gable,Mutiny on the Bounty,False
331,1935,1936,8,ACTOR,Charles Laughton,Mutiny on the Bounty,False
334,1935,1936,8,ACTOR,Franchot Tone,Mutiny on the Bounty,False
362,1935,1936,8,DIRECTING,Mutiny on the Bounty,Mutiny on the Bounty,False
368,1935,1936,8,FILM EDITING,Mutiny on the Bounty,Mutiny on the Bounty,False
371,1935,1936,8,MUSIC (Scoring),Mutiny on the Bounty,Mutiny on the Bounty,False
384,1935,1936,8,OUTSTANDING PRODUCTION,Mutiny on the Bounty,Mutiny on the Bounty,True
413,1935,1936,8,WRITING (Screenplay),Mutiny on the Bounty,Mutiny on the Bounty,False
523,1937,1938,10,ACTOR,Fredric March,A Star Is Born,False
534,1937,1938,10,ACTRESS,Janet Gaynor,A Star Is Born,False
558,1937,1938,10,ASSISTANT DIRECTOR,A Star Is Born,A Star Is Born,False
573,1937,1938,10,DIRECTING,A Star Is Born,A Star Is Born,False
607,1937,1938,10,OUTSTANDING PRODUCTION,A Star Is Born,A Star Is Born,False
634,1937,1938,10,WRITING (Original Story),A Star Is Born,A Star Is Born,True
639,1937,1938,10,WRITING (Screenplay),A Star Is Born,A Star Is Born,False
785,1939,1940,12,ACTOR,Clark Gable,Gone with the Wind,False
798,1939,1940,12,ACTRESS,Vivien Leigh,Gone with the Wind,True
799,1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Olivia de Havilland,Gone with the Wind,False
801,1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Hattie McDaniel,Gone with the Wind,True
807,1939,1940,12,ART DIRECTION,Gone with the Wind,Gone with the Wind,True
829,1939,1940,12,CINEMATOGRAPHY (Color),Gone with the Wind,Gone with the Wind,True
833,1939,1940,12,DIRECTING,Gone with the Wind,Gone with the Wind,True
838,1939,1940,12,FILM EDITING,Gone with the Wind,Gone with the Wind,True
846,1939,1940,12,MUSIC (Original Score),Gone with the Wind,Gone with the Wind,False
873,1939,1940,12,OUTSTANDING PRODUCTION,Gone with the Wind,Gone with the Wind,True
894,1939,1940,12,SOUND RECORDING,Gone with the Wind,Gone with the Wind,False
904,1939,1940,12,SPECIAL EFFECTS,Gone with the Wind,Gone with the Wind,False
916,1939,1940,12,WRITING (Screenplay),Gone with the Wind,Gone with the Wind,True
2309,1949,1950,22,ART DIRECTION (Color),Little Women,Little Women,True
2318,1949,1950,22,CINEMATOGRAPHY (Color),Little Women,Little Women,False
2405,1950,1951,23,ACTOR IN A SUPPORTING ROLE,George Sanders,All about Eve,True
2407,1950,1951,23,ACTRESS,Anne Baxter,All about Eve,False
2408,1950,1951,23,ACTRESS,Bette Davis,All about Eve,False
2413,1950,1951,23,ACTRESS IN A SUPPORTING ROLE,Celeste Holm,All about Eve,False
2416,1950,1951,23,ACTRESS IN A SUPPORTING ROLE,Thelma Ritter,All about Eve,False
2417,1950,1951,23,ART DIRECTION (Black-and-White),All about Eve,All about Eve,False
2423,1950,1951,23,CINEMATOGRAPHY (Black-and-White),All about Eve,All about Eve,False
2433,1950,1951,23,COSTUME DESIGN (Black-and-White),All about Eve,All about Eve,True
2439,1950,1951,23,DIRECTING,All about Eve,All about Eve,True
2449,1950,1951,23,FILM EDITING,All about Eve,All about Eve,False
2454,1950,1951,23,MUSIC (Music Score of a Dramatic or Comedy Picture),All about Eve,All about Eve,False
2469,1950,1951,23,BEST MOTION PICTURE,All about Eve,All about Eve,True
2483,1950,1951,23,SOUND RECORDING,All about Eve,All about Eve,True
2495,1950,1951,23,WRITING (Screenplay),All about Eve,All about Eve,True
2630,1952,1953,25,ACTOR,José Ferrer,Moulin Rouge,False
2644,1952,1953,25,ACTRESS IN A SUPPORTING ROLE,Colette Marchand,Moulin Rouge,False
2654,1952,1953,25,ART DIRECTION (Color),Moulin Rouge,Moulin Rouge,True
2675,1952,1953,25,COSTUME DESIGN (Color),Moulin Rouge,Moulin Rouge,True
2680,1952,1953,25,DIRECTING,Moulin Rouge,Moulin Rouge,False
2693,1952,1953,25,FILM EDITING,Moulin Rouge,Moulin Rouge,False
2712,1952,1953,25,BEST MOTION PICTURE,Moulin Rouge,Moulin Rouge,False
2780,1953,1954,26,ART DIRECTION (Black-and-White),Titanic,Titanic,False
2879,1953,1954,26,WRITING (Story and Screenplay),Titanic,Titanic,True
2888,1954,1955,27,ACTOR,James Mason,A Star Is Born,False
2896,1954,1955,27,ACTRESS,Judy Garland,A Star Is Born,False
2913,1954,1955,27,ART DIRECTION (Color),A Star Is Born,A Star Is Born,False
2933,1954,1955,27,COSTUME DESIGN (Color),A Star Is Born,A Star Is Born,False
2958,1954,1955,27,MUSIC (Scoring of a Musical Picture),A Star Is Born,A Star Is Born,False
