,year_film,year_ceremony,ceremony,category,name,film,winner
785,1939,1940,12,ACTOR,Clark Gable,Gone with the Wind (1939),False
798,1939,1940,12,ACTRESS,Vivien Leigh,Gone with the Wind (1939),True
799,1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Olivia de Havilland,Gone with the Wind (1939),False
801,1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Hattie McDaniel,Gone with the Wind (1939),True
807,1939,1940,12,ART DIRECTION,Gone with the Wind,Gone with the Wind (1939),True
829,1939,1940,12,CINEMATOGRAPHY (Color),Gone with the Wind,Gone with the Wind (1939),True
833,1939,1940,12,DIRECTING,Gone with the Wind,Gone with the Wind (1939),True
838,1939,1940,12,FILM EDITING,Gone with the Wind,Gone with the Wind (1939),True
846,1939,1940,12,MUSIC (Original Score),Gone with the Wind,Gone with the Wind (1939),False
873,1939,1940,12,OUTSTANDING PRODUCTION,Gone with the Wind,Gone with the Wind (1939),True
894,1939,1940,12,SOUND RECORDING,Gone with the Wind,Gone with the Wind (1939),False
904,1939,1940,12,SPECIAL EFFECTS,Gone with the Wind,Gone with the Wind (1939),False
916,1939,1940,12,WRITING (Screenplay),Gone with the Wind,Gone with the Wind (1939),True
2405,1950,1951,23,ACTOR IN A SUPPORTING ROLE,George Sanders,All about Eve (1950),True
2407,1950,1951,23,ACTRESS,Anne Baxter,All about Eve (1950),False
2408,1950,1951,23,ACTRESS,Bette Davis,All about Eve (1950),False
2413,1950,1951,23,ACTRESS IN A SUPPORTING ROLE,Celeste Holm,All about Eve (1950),False
2416,1950,1951,23,ACTRESS IN A SUPPORTING ROLE,Thelma Ritter,All about Eve (1950),False
2417,1950,1951,23,ART DIRECTION (Black-and-White),All about Eve,All about Eve (1950),False
2423,1950,1951,23,CINEMATOGRAPHY (Black-and-White),All about Eve,All about Eve (1950),False
2433,1950,1951,23,COSTUME DESIGN (Black-and-White),All about Eve,All about Eve (1950),True
2439,1950,1951,23,DIRECTING,All about Eve,All about Eve (1950),True
2449,1950,1951,23,FILM EDITING,All about Eve,All about Eve (1950),False
2454,1950,1951,23,MUSIC (Music Score of a Dramatic or Comedy Picture),All about Eve,All about Eve (1950),False
2469,1950,1951,23,BEST MOTION PICTURE,All about Eve,All about Eve (1950),True
2483,1950,1951,23,SOUND RECORDING,All about Eve,All about Eve (1950),True
2495,1950,1951,23,WRITING (Screenplay),All about Eve,All about Eve (1950),True
4090,1964,1965,37,ACTRESS,Julie Andrews,Mary Poppins (1964),True
4106,1964,1965,37,ART DIRECTION (Color),Mary Poppins,Mary Poppins (1964),False
4117,1964,1965,37,CINEMATOGRAPHY (Color),Mary Poppins,Mary Poppins (1964),False
4126,1964,1965,37,COSTUME DESIGN (Color),Mary Poppins,Mary Poppins (1964),False
